crop_number,crop_name_fr,crop_latin,No d'ordre,Dénomination,Nature Génétique,Nature génétique,Obtenteur/ Pays,Obtenteur / Pays,Obtenteur/ pays,Date d'inscription,Mainteneur,Aptitude au tallage,Aptitude à la conservation,Arôme du grain,Autres caractéristiques,"Autres caractéristiques (insectes, striga, maladies)",Autres carasteristiques,Couleur de la chair,Couleur de la peau,Couleur de la peau du tubercule,Couleur de la tunique du bulbe à maturité,Couleur des grains,Couleur du fruit à maturité,Couleur du grain,Couleur fibre,Couleur principale du tégument du grain,Cycle plantation (jours),Cycle plantation- maturité (jours),Cycle plantation- maturité (mois),Cycle semis - maturité (50%) (Jr),Cycle semis- maturité 1ère récolte (jours),Cycle semis- maturité à 50% (jours),Cycle semis- maturité à 95% (jours),Cycle semis- maturité à 95% des plants (jours),Cycle sémi- maturité 50% /jour,Date d'inscript ion,Densité de la panicule,Dormance des grains,Durée de conservation,Délai de brunissement de la chair après grattage,Elongation de la fibre,Epoque dehiscence première capsules(j),Espèce,Fermeté du fruit,Forme de la panicule (position de la partie la plus large),Forme de la racine turbéreuse,Forme du tubercule,Forme du turbercule en section longitudinale,Hauteur de la plante (cm),Hauteur de plant (cm),Hauteur de plante (cm),Hauteur de plante en cm,Hauteur de plants (cm),Hauteur des plants,Hauteur des plants (cm),Index de gluten,Indice micronaire,Isohyete (mm),Isohyète,Isohyète (mm),Longueur de l'épi,Longueur de la chandelle (cm),Longueur du tubercule,Longueur fibre,Nature génétiqe,Obtenteur /pays,Obtenteur/Pa ys,Photosensibilité,Poids de 100 Graines (g),Poids de 100 graines (g),Poids de 100 grains (PCG) à 15%,Poids de 100 grains (g),Poids de 1000 graines (g),Poids de 1000 grains (g),Poids des bulbes et bulbilles,Poids moyenne du fruit (g),Port de plante,Port des plants,Pourcentage de gros calibre,Reflectance,Rendeme nt potentiel (t/ha),Rendement en fanes (t/ha),Rendement en grains (t/ha),Rendement grains (t/ha),Rendement mesuré (T/Ha),Rendement mesuré (T/ha),Rendement mesuré (t/ha),Rendement potentiel (t/ha),Rendement potentiel en fanes (t/ha),Rendement égrenage (%),Résistance au striga,Résistance aux bioagresseurs,Résistance aux maladies,Résistance aux nuisibles,Résistance aux virose,Résistance à la sécheresse,Résistance à la verse,Sensibilité à la photopériode,Taille du bulbille,Taille du fruit,Tenacité de la fibre,Tendance à la montaison,Teneur en acide cyanhydrique,Teneur en huile (%),Teneur en proteine,Teneur en protéines (%),Tolérance à la sécheresse,Type de blé (dur ou tendre),Type de croissance,Type de crosissance,Type de plant,Vocation culturale,Vocation d'utilisation,Vocation d’utilisation,aptitude à la conservation,autres caractéristiques,couleur de grain (dos),couleur de la Peau,cycle semi- maturité,hauteur de la plante (cm),indice du jaune,isohyète,isohyète (mm),longueur de l'Épi,longueur du grain,rendement mesuré (T/Ha),résistance aux nuisibles,résistance à la sécheresse,tolérance à la secheresse,type de grain,vocation culturale
1,ARACHIDE,Arachis hypgoaea L.,1,FASODEME TIGA,ligne pure,,IER/Mali,,,2022,IER/Icrisat,,,,,,,,,,,,,,,rose brunâtre,,,,,,,,90,,,,courte,,,,,,,,,,,,,,,,,,,,,,400 - 1200,,,,,,,,,,,,60,,,,,dressé,,,,,3.32,,2.3,,,,,,,,,,résistant,,bonne,,,,,,,,60.3,,,,,,,,,huilerie,,,,,,,,,,,,,,,,,,
1,ARACHIDE,Arachis hypgoaea L.,2,LAWILI TIGA (ICGV 176343),ligne pure,,IER/Mali,,,2022,IER/Icrisat,,,,,,,,,,,,,,,rose brunâtre,,,,,,,,90,,,,courte,,,,,,,,,,,,,,,,,,,,,,400 - 1200,,,,,,,,,,,,50,,,,,demi-dressé,,,,,3.47,,2.54,,,,,,,,,,résistant,,bonne,,,,,,,,65.28,,,,,,,,,huilerie,,,,,,,,,,,,,,,,,,
1,ARACHIDE,Arachis hypgoaea L.,3,SOROTIAMA TIGA (ICGV 176172),ligne pure,,IER/Mali,,,2022,IER/Icrisat,,,,,,,,,,,,,,,rose brunâtre,,,,,,,,90,,,,courte,,,,,,,,,,,,,,,,,,,,,,400 - 1200,,,,,,,,,,,,60,,,,,dressé,,,,,2.97,,2.27,,,,,,,,,,résistant,,bonne,,,,,,,,57.73,,,,,,,,,huilerie,,,,,,,,,,,,,,,,,,
1,ARACHIDE,Arachis hypgoaea L.,4,TIESIRI TIGA (ICGV 176062),ligne pure,,IER/Mali,,,2022,IER/Icrisat,,,,,,,,,,,,,,,rose brunâtre,,,,,,,,90,,,,courte,,,,,,,,,,,,,,,,,,,,,,400 - 1200,,,,,,,,,,,,70,,,,,dressé,,,,,2.84,,2.32,,,,,,,,,,résistant,,bonne,,,,,,,,51.29,,,,,,,,,huilerie,,,,,,,,,,,,,,,,,,
2,BLÉ,Triticum aestivum L. emend. Fiori et Paol.,1,LACRI WHIT- 13D,Lignée,,,ICARDA & LCRI Nigeria,,2022,LCRI Nigeria,Medium (8-12),,,Sensible à sécheresse,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,Moyenne (75.7 cm),,71.3,,,600-800,,Courte,,,,,,,Insensitive,,,,,,61.1,,,,,,,,,,,5.6,,,,,,,Sensible,,,,,,,,,,,,,,16.2,,Durum wheat,,,,,,,,,,,,,,,,,,,,,,,
2,BLÉ,Triticum aestivum L. emend. Fiori et Paol.,2,LACRIWHIT-12D,Lignée,,,ICARDA & LCRI Nigeria,,2022,LCRI Nigeria,Medium (10-12),,,Sensible à sécheresse,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,Moyenne (75.7 cm),,37.8,,,600-800,,Longue,,,,,,,Insensitive,,,,,,25,,,,,,,,,,,6.2,,,,,,,Sensible,,,,,,,,,,,,,,13.50,,Durum wheat,,,,,,,,,,,,,,,,,,,,,,,
2,BLÉ,Triticum aestivum L. emend. Fiori et Paol.,3,ALIOUNE,Lignée,,,ISRA/SEN,,2022,ISRA/SEN,Non,,,Resistant à la verse,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,Moyenne,,92,,,NA,,Court,,,,,,,insensible,,,,,,36,,,,,,,,,,,4.5,,,,,,,Résistant,,,,,,,,,,,,,,13,,tendre,,,,,,,,,,,,,,,,,,,,,,,
2,BLÉ,Triticum aestivum L. emend. Fiori et Paol.,4,AMINA,Lignée,,,ISRA/SEN,,2022,ISRA/SEN,Non,,,Resistant à la verse et à la toxicité du sol,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,Longue,,5,,,NA,,courte,,,,,,,insensible,,,,,,35,,,,,,,,,,,4,,,,,,,Résistant,,,,,,,,,,,,,,13,,dur,,,,,,,,,,,,,,,,,,,,,,,
2,BLÉ,Triticum aestivum L. emend. Fiori et Paol.,5,DIOUFISSA,Lignée,,,ISRA/SEN,,2022,ISRA/SEN,Non,,,Resistant à la verse,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,Moyenne,,9,,,NA,,Longue,,,,,,,insensible,,,,,,36,,,,,,,,,,,4.5,,,,,,,Résistant,,,,,,,,,,,,,,13,,dur,,,,,,,,,,,,,,,,,,,,,,,
2,BLÉ,Triticum aestivum L. emend. Fiori et Paol.,6,Diré 15,Lignée,,,ISRA/SEN,,2022,ISRA/SEN,Non,,,sensible à la verse,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,Longue,,76,,,NA,,Longue,,,,,,,insensible,,,,,,27,,,,,,,,,,,4,,,,,,,Résistant,,,,,,,,,,,,,,13.8,,tendre,,,,,,,,,,,,,,,,,,,,,,,
