Name of Variety,National Code,Origin/ Source,Breeder (s)/ Institution,Applicant,Distinctness Uniformity and Stability (DUS),Value for Cultivation and Use (VCU),Preferred Ecology,Pedigree/ Line,Year of Release,Year of Registry,_crop_section,_crop_latin,_page
Golden Crystal,GH/Zm/001/15,CSIR-CRI/ CIMMYT,M. K. Akposoe,CSIR-Crops Research Institute,It is yellow dent/flint. It has a maturity period ranging from 105-110 days,Suitable for poultry and livestock feed,All agro- ecologies in Ghana,OPV,1972,2015,COTTON,Gossypium hirsutum 81,10
Mamaba,GH/Zm/003/15,CSIR-CRI/ CIMMYT,"S.Twumasi-Afriyie, P.Y.K. Sallah, B.Badu-Apraku, K. Obeng-Antwi, K. Ahenkora, E.A Asiedu, P.P Frimpong-Manso, O. Yeboah, S. Apau, A. Mensah-Ansah; W. Haag, B.D. Dzah, CSIR-CRI",CSIR-Crops Research Institute,Type of variety: three way cross hybrid; Maturity: 110 days; Potential yield (tons/ ha): 6.5; Seed colour: White; Days to 50% silk: 51; Plant height (cm): 187; Ear height (cm): 89; Tassel colour: Cream with purple shade; Tassel arrangement: mid-open and alternate; Silk colour: purple; Stem colour: Green; Cob length (cm): 18.9; Cob diameter (cm): 4.5; Kernel depth (cm): 1.2; Kernel arrangement: straight; Kernel type: Flint,QPM. Excellent for enhanced nutrition and health of humans; Drought tolerant,All agro- ecologies in Ghana,Hybrid,1997,2015,COTTON,Gossypium hirsutum 81,10
Cida-ba,GH/Zm/005/15,CSIR-CRI/ CIMMYT,"S.Twumasi-Afriyie, P.Y.K. Sallah, B.Badu-Apraku, K. Obeng-Antwi, K Ahenkora, E.A Asiedu, P.P Frimpong-Manso, O. Yeboah, S. Apau, A. Mensah-Ansah, W. Haag, K. Boa Amponsem, K. Ahenkora, A. Agyemang, E.K. Lampoh, B.D. Dzah, CSIR-CRI",CSIR-Crops Research Institute,Type of variety: three way cross hybrid; Maturity: 110 days; Potential yield (tons/ha): 6.5; Seed colour: White; Days to 50% silk: 54; Plant height (cm): 182; Ear height (cm): 80; Tassel colour: Cream purple; Tassel arrangement: very compact and alternate; Silk colour: purple; Stem colour: Green; Cob length (cm): 16.6; Cob diameter (cm): 4.5; Kernel arrangement: straight; Kernel type: Flint,QPM. Excellent for enhanced nutrition and health of humans,All agro- ecologies in Ghana,Hybrid,1997,2015,COTTON,Gossypium hirsutum 81,10
Dodzi,GH/Zm/006/15,CSIR-CRI/ IITA,"S.Twumasi-Afriyie, P.Y.K. Sallah, B.Badu-Apraku, K. Obeng-Antwi, K Ahenkora, E.A Asiedu, P.P Frimpong-Manso, O. Yeboah, S. Apau, A. Mensah-Ansah, W. Haag, K. Boa Amponsem, K. Ahenkora, A. Agyemang, E.K. Lampoh, B.D. Dzah, CSIR-CRI",CSIR-Crops Research Institute,Type of variety: open pollinated; Maturity: 85 days; Potential yield: 3.3 t/ha; Seed colour: white; Days to 50% silk: 48; Plant height (cm): 150; Ear height:68; Tassel colour: cream purple; Tassel arrangement: open and alternate; Silk colour: cream purple; Stem colour: green with purple shade; Cob length (cm): 14.1; Cob diameter (cm): 4.1; Kernel depth (cm): 1.1; Kernel arrangement: straight; Kernel type: Flint/dent,Useful to break hunger gap before main harvest,Guinea and Sudan Savannah,OPV,1997,2015,COTTON,Gossypium hirsutum 81,11
CSIR-Aziga,GH/Zm/008/15,CSIR-CRI/ CIMMYT,"M.B. Ewool, P.Y.K Sallah, K. Obeng- Antwi; CSIR-CRI; M.S. Abdulai, CSIR-SARI",CSIR-Crops Research Institute,Type of variety: OPV; Maturity: 110 days; Potential yield (tons/ha): 5.0; Seed colour: yellow; Days to 50% silk: 57; Plant height (cm): 189; Ear height (cm): 96; Tassel colour: cream purple shade; Tassel arrangement: Open and alternate; Silk colour: purple; Stem colour: Green with purple shade; Cob length (cm): 15.6; Cob diameter (cm): 3.4; Kernel depth (cm): 1.0; Kernel arrangement: straight; Kernel type: Flint,"Quality Protein Maize (QPM). Suitable for poultry and livestock production (increased growth, high carotene imparts yellow colour to egg yolk, reduction in fish meal when added to feed). Excellent for enhanced nutrition and health of humans.",Most suitable for the Forest and Forest Transition zones,OPV,2007,2015,COTTON,Gossypium hirsutum 81,11
Ghana Variety Release Catalogue,11,,,,,,,,,,COTTON,Gossypium hirsutum 81,11
CSIR-Enii-Pibi,GH/Zm/011/15,CSIR-CRI/ CIMMYT,"M.B. Ewool, P.Y.K Sallah, K. Obeng- Antwi, CSIR-CRI; G. Adu-Boakyewaa, M.S. Abdulai, CSIR-SARI",CSIR-Crops Research Institute,Type of variety: three way cross hybrid; Maturity: 110 days; Potential yield (tons/ha): 5.5; Seed colour: White; Days to 50% silk: 54; Plant height (cm): 181; Ear height (cm): 92; Tassel colour: Cream purple; Tassel arrangement: Open and alternate; Silk colour: purple; Stem colour: Green; Cob length (cm): 15.1; Cob diameter (cm): 4.9; Kernel depth (cm): 1.5; Kernel arrangement: straight; Kernel type: Flint,High Quality Protein Maize (QPM). yield of about 5.5t/ha. Yield is about 5.5t/ha.,Most suitable for Forest and Forest transition zones,Hybrid,2010,2015,COTTON,Gossypium hirsutum 81,12
CSIR- Aburohema,GH/Zm/013/15,CSIR-CRI/ IITA,"M.B. Ewool, P.Y.K Sallah, K. Obeng- Antwi, CSIR-CRI; G. Adu-Boakyewaa, M.S. Abdulai, CSIR-SARI",CSIR-Crops Research Institute,Type of variety: OPV; Maturity: 90days; Potential yield (tons/ ha): 5.0; Seed colour: White; Days to 50% silk: 54; Plant height (cm): 164; Ear height (cm): 83; Tassel colour: cream purple shade; Tassel arrangement: Open and alternate; Silk colour: purple; Stem colour: Green with purple shade; Cob length (cm): 12.7; Cob diameter (cm): 4.2; Kernel depth (cm): 1.5; Kernel arrangement: straight; Kernel type: Flint/dent,QPM white. Yield is about 5.5t/ha.,Most suitable for the Forest and Sudan savannah zones,OPV,2010,2015,COTTON,Gossypium hirsutum 81,12
CSIR-CRI $p1aburo,GH/Zm/015/15,Landrace/ Ghana,Manfred Ewool et al./ CSIR-CRI,CSIR-Crops Research Institute,Type of variety: Top cross hybrid; Maturity: 110-115 days; Potential yield (tons/ ha): 7.5; Seed colour: White; Days to 50% silk: 56; Plant height (cm): 180; Ear height (cm): 90; Tassel colour: Cream with purple shade; Tassel arrangement: Mid-Open and alternate; Silk colour: Cream purple; Stem colour: Green with purple shade; Cob length (cm): 16.7; Cob diameter (cm): 4.9; Kernel depth (cm): 0.9; Kernel arrangement: straight; Kernel type: Flint,Moderately tolerant to drought; Very good for domestic purposes; Moisture %: 11.1; Protein %: 9.5; Fibre %: 1.4; Fat%: 4.8; Ash%: 1.5; Carbohydrate%:74.6; Water binding capacity%: 307.9; Solubility%: 16.9; Swelling power%: 8.9,Forest and Forest Transition,DT-SR-W C0/1/1368x ICAL 224-1x1368-3- 1-B-B-B-B-B-B,2012,2015,COTTON,Gossypium hirsutum 81,13
CSIR-Sanzal- sima,GH/Zm/017/15,CSIR-SARI/ IITA,"M.S. Abdulai, A. Haruna, G. B. Adu,CSIR-SARI; K. Obeng-Antwi, M. B. Ewool, CSIR-CRI",CSIR-Savanna Agricultural Research Institute,Days to 50% Anthesis: 60; Days to 50% silking: 61; Days to physiological maturity: 110 days; Silk colour: predominantly cream with light purple shade; Plant height: 167 cm; Ear height: 77 cm; Tassel shape: Mid Open and alternate; Tassel colour: predominantly Purple Grain colour: White; Grain type: Flint-Dent,"Potential yield: 5.4 t/ha; Medium maturity; drought tolerant; tolerant to lodging; tolerant to rust, blight; streak and curvularia; Ash: 2.0 %; Fat: 1.9 %; Protein: 13.0%; Carbohydrate: 71.3%;","Guinea savannah, Sudan savannah, Forest- savannah transition and Forest",DT SYN 1 W,2012,2015,COTTON,Gossypium hirsutum 81,13
