_section,_species,_page,Areas Of Production,Areas for optimal production,Areas of Production,Areas of production,Biomass Yield(t/h a),Cane yield (t ha-1),Durat ion to matu rity (mon ths),Duratio n to maturit y (month s),Duratio n to maturit y (years),Duration to maturity ( days),Duration to maturity (days),Duration to maturity (months),Duration to maturity (months/day s),Duration to peak production (months),Economic production life (years),Flower yield (t ha-1 y-1),Fruit yield (kg tree-1 y-1),Grai n yiel d (t ha- 1),Grai n yiel d (t ha-1 ),Grain (G) and/or Forage(F ) yield (t ha-1 ),Grain yield (t ha- 1 ),Grain yield (t ha-1 ),Grain yield (t ha-1),Grain yield (t/ha),Grain yield(t ha-1 ),Grain yield(t/ ha),Green tea leaf yield (t ha-1 y- 1),Leaf Yield (t ha- 1),Lint yiel d (t ha- 1 ),Mainta iner and source,Maintai ner and seed source,Maintain er,Maintain er And Source,Maintain er and seed source,Maintain er and seedling source,Maintain er and source,Maintaine r,Maintaine r and Source,Maintaine r and seed source,Maintaine r and seedling source,Maintaine r and source,Maintainer,Maintainer and seed source,Maintainer and seedling source,Maintainer and source,Matu rity durat ion,Maturi ty duratio n,Maturi ty duratio n(mont hs),Maturit y duratio n(mont hs),Maturity Duration,Maturity Duration (months),Maturity duration,Maturity duration (years),Maturity duration( months),Maturity duration(mo nths),Maturity duration(months),Offici al Rele ase Nam e,Official Releas e Name,Official Release Name,Official Release name,Official Variety Name,Official Variety Release Name,Official release name,Official variety release Name,Official variety release name,Optimal producti on altitude range (Masl),Optimal productio n altitude range (Masl),Optimal production altitude (Masl),Optimal production altitude (masl),Optimal production altitude range (Masl),Optimal production altitude range (masl),Owne r(s),Owner (s) / Licensee,Owner( s),Owner( s) / License e,Owner( s) license e,Owner(S) Licensee,Owner(s ) / Licensee,Owner(s),Owner(s) / Licensee,Owner(s) / licensee,Owner(s) Licensee,Owner(s) licensee,Relea se name,Releas e Name,Releas e name,Release Name,Release name,Root yield (tha- 1 y-1),Root yield (tha-1 y- 1),Root yield (tha-1 y-1),Seed yield( t ha- 1),Special Attributes,Special attributes,Time to 50% flowering at 2551 m a s l (months),Tuber yield (t ha- 1),Tuber yield (t ha-1),Variety Code / Name,Variety Name,Variety Name/C ode,Variety Testing name/Co de,Variety name,Variety name/ Code,Variety name/ variety code,Variety name/cod e,Variety name/code,Variety testing name/c ode,Variety testing name/cod e,Year Of Release,Year of Releas e in kenya,Year of rele ase,Year of relea se,Year of releas e,Year of releas e in Kenya,Year of release,Year of release in Kenya,Year of release in kenya,Yiel d(t/ ha),Yield,Yield (T/Ha ),Yield (t/ha),Yield (t/ha) per tree,Yield( t/ha),Yield(t /ha),Yield(t/ ha),release name
COFFEE,"Coffee Arabica
Variety Year of Owner",5,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee Research Foundatio n,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300-1800,,,,,,,,,,,Coffee Research Foundati on,,,,,,,,,,,,,,, Fine liquor quality  Adaptable to medium to high altitude,,,,,,,,1. CCLviii SL 34,,,,,,,,,,,,,1930s,,,,,,,2-2.5,,,,
COFFEE,"Coffee Arabica
Variety Year of Owner",5,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee Research Foundatio n,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300-1800,,,,,,,,,,,Coffee Research Foundati on,,,,,,,,,,,,,,, Fine liquor quality  Adaptable to medium to high altitude,,,,,,,,2. CCLIX SL 28,,,,,,,,,,,,,1935,,,,,,,2-2.5,,,,
COFFEE,"Coffee Arabica
Variety Year of Owner",5,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee Research Foundatio n,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300-1600,,,,,,,,,,,Coffee Research Foundati on,,,,,,,,,,,,,,, Partial resistance to leaf rust  Adaptable to low to medium altitude,,,,,,,,3. CCLX K7,,,,,,,,,,,,,1936,,,,,,,2-2.5,,,,
COFFEE,"Coffee Arabica
Variety Year of Owner",5,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee Research Foundatio n,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300-1800,,,,,,,,,,,Coffee Research Foundati on,,,,,,,,,,,,,,, Resistance to CBD and leaf rust  Compact growth,,,,,,,,4. CCLXI Ruiru I,,,,,,,,,,,,,1985,,,,,,,2.5-4.6,,,,
COFFEE,"Coffee Arabica
Variety Year of Owner",5,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee Research Foundatio n,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200 - 1800,,,,,,,,,,,Coffee Research Foundati on,,,,,,,,,,,,,,, Fine cup quality  Resistant to CBD and Leaf Rust  True breeding  Early cherry ripening  Produce very large berries  Suited for all coffee agro- ecological zones in Kenya,,,,,,,,5. Batian 1,,,,,,,,,,,,,2010,,,,,,,3-5,,,,
COFFEE,"Coffee Arabica
Variety Year of Owner",5,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee Research Foundatio n,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200 - 1800,,,,,,,,,,,Coffee Research Foundati on,,,,,,,,,,,,,,, Fine cup quality with relatively lower caffeine content  Resistant to CBD and Leaf Rust  True breeding  Late cherry ripening  Produce very large berries  Suited for all coffee agro- ecological zones in Kenya,,,,,,,,6. Batian 3,,,,,,,,,,,,,2010,,,,,,,3-5,,,,
MACADAMIA,"Macadamia sp
Variety Official Owner",6,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee Research Foundatio n,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200 - 1800,,,,,,,,,,,Coffee Research Foundati on,,,,,,,,,,,,,,, Fine cup quality with high acidity  Resistant to CBD and Leaf Rust  True breeding  Produce average sized berries  Suited for all coffee agro- ecological zones in Kenya,,,,,,,,7. Batian 2,,,,,,,,,,,,,2010,,,,,,,3-5,,,,
MACADAMIA,"Macadamia sp
Variety Official Owner",6,,,,,,,,,,,,,,,15-20,,46-50,,,,,,,,,,,,,,,,,,,,,,,,,,,KARI- Thika,,,,,,,,,,,,,,,1997,,,,,,,,,1400-1550,,,,,,,,,,,KARI,,,,,,,,,,,,,,, High fruit yield per cluster,,,,,,,,,,,,1. MRG-20,,,,,,,,,,,,,,,,,,,,
MACADAMIA,"Macadamia sp
Variety Official Owner",6,,,,,,,,,,,,,,,15-20,,42-55,,,,,,,,,,,,,,,,,,,,,,,,,,,KARI- Thika,,,,,,,,,,,,,,,1997,,,,,,,,,1400-1550,,,,,,,,,,,KARI,,,,,,,,,,,,,,, High first grade ratio,,,,,,,,,,,,2. EMB-1,,,,,,,,,,,,,,,,,,,,
MACADAMIA,"Macadamia sp
Variety Official Owner",6,,,,,,,,,,,,,,,15-20,,42-60,,,,,,,,,,,,,,,,,,,,,,,,,,,KARI- Thika,,,,,,,,,,,,,,,1997,,,,,,,,,1400-1550,,,,,,,,,,,KARI,,,,,,,,,,,,,,, High first grade ratio,,,,,,,,,,,,3. EMB-3,,,,,,,,,,,,,,,,,,,,
