Crop_Name,S/N,Variety Name,Original Name,National Code,Origin/Source,Developing Institute,Collaborating Institute,Breeder/ Collaborating Scientists,Outstanding Characteristics/ Potential Yields,Agro- Ecological Zones,Year of Release,Year of Registry,_page
Cassava,1,NICASS 1,TMS-30572 (Idi- Oshe),NGME 91-1,IITA Ibadan,IITA Ibadan,,Dr. S. K. Hahn,High yielding,,1984,1991,1
Cassava,2,NICASS 2,TMS-4(2)-1425,NGME 91-2,IITA Ibadan,IITA Ibadan,,Dr. S. K. Hahn,"High yielding, low cyanide",,1986,1991,1
Cassava,3,NICASS 3,TMS-90257,NGME 96-3,IITA Ibadan,IITA Ibadan,,Dr. S. K. Hahn,"Early bulking, high yielding",,1986,1996,1
Cassava,4,NICASS 4,TMS-84537,NGME 96-4,IITA Ibadan,IITA Ibadan,,Dr. S. K. Hahn,High yielding,,1986,1996,1
Cassava,5,NICASS 5,TMS-82/00058,NGME 96-5,IITA Ibadan,IITA Ibadan,,Dr. S. K. Hahn,High yielding,,1986,1996,1
Cassava,6,NICASS 6,TMS-82/00661,NGME 96-6,IITA Ibadan,IITA Ibadan,,Dr. S. K. Hahn,High yielding,,1986,1996,1
Cassava,7,NICASS 7,TMS-81/00110,NGME 96-7,IITA Ibadan,IITA Ibadan,,Dr. S. K. Hahn,High yielding,,1986,1996,1
Cassava,8,NICASS 8,MS-6 (Antiota),NGME 96-8,"IAR&T, Ibadan","IAR&T, Ibadan",,"Dr. T. A. Akinlosotun, Dr. J.O.S. Kogbe & Dr. M.O. Omidiji","Non-branching, high yielding, resistant to pest and diseases, low cyanide, good gari and lafun.",,1986,1996,1
Cassava,9,NICASS 9,MS-3 (Odongbo),NGME 96-9,"IAR&T, Ibadan","IAR&T, Ibadan",,"Dr. T. A. Akinlosotun, Dr. J.O.S. Kogbe & Dr. M.O. Omidiji","Non-branching, high dry matter, good gari qualities, keeps well in the soil. Good for mixed cropping,",,1986,1996,1
Cassava,10,NICASS 10,TMS-30555,NGME 96-10,"IAR&T, Ibadan","IAR&T, Ibadan",,Dr. S. K. Hahn,Moderate yielding,,1976,1996,1
Cassava,11,NICASS 11,NR-8208,NGME 96-11,"NRCRI, Umudike","NRCRI, Umudike",,Dr. L. S. O. Ene,High yielding,,1988,1996,1
Cassava,12,NICASS 12,NR-8083,NGME 96-12,"NRCRI, Umudike","NRCRI, Umudike",,Dr. L. S. O. Ene,High yielding,,1986,1996,1
Cassava,13,NICASS 13,NR-83107,NGME 96-13,"NRCRI, Umudike","NRCRI, Umudike",,Dr. L. S. O. Ene,High resistance to pests and diseases.,,1989,1996,1
Cassava,14,NICASS 14,NR-8082,NGME 96-14,"NRCRI, Umudike","NRCRI, Umudike",,Dr. L. S. O. Ene,Very high yielding and resistant to pests and diseases.,,1986,1996,1
Cassava,15,NICASS 15,TMS-50395,NGME 96-15,IITA Ibadan,IITA Ibadan,,Dr. S. K. Hahn,High biomass,,1986,1996,1
Cassava,16,NICASS 16,NR-8212,NGME 96-16,"NRCRI, Umudike","NRCRI, Umudike",,Dr. L. S. O. Ene,High yielding,,1986,1996,1
Cassava,17,NICASS 17,NR-41044,NGME 96-17,"NRCRI, Umudike","NRCRI, Umudike",,Dr. L. S. O. Ene,High yielding,,1986,1996,1
Cassava,18,NICASS 18,TMS-30001,NGME 96-18,IITA Ibadan,IITA Ibadan,,Dr. S. K. Hahn,Moderate yielding,,1986,1996,1
Cassava,19,NICASS 19,TMS-91934,NGME 96-19,"IITA, Ibadan","IITA, Ibadan",,Dr. S.K. Hahn,High yielding,,1986,1996,1
Cassava,20,NICASS 20,TME-419,NGME 05-20,IITA Ibadan,IITA Ibadan,,"Dr. A.G.O. Dixon, Dr. Egesi, Dr. F.O. Ogbe, Prof. Akoroda & Dr. E. Okoro.","High yield, resistant to CMD",,2005,2005,1
